ID,Product,Path,Line,Derivable Names,Assigns Through,Made Global,Uses literal pattern,Uses foreach,Uses switch,Uses conditional,Derivable with annotations,Notes
1,CakePHP,lib/Cake/Console/Command/ConsoleShell.php,350,N,Y,N,,,,,,Unsets variables imported into scope. Non-derivable but local.
2,CakePHP,lib/Cake/Console/Command/Task/ControllerTask.php,231,Y,N,N,,X,,,,Maps var-var to literal keys in array defined directly above. This is a read.
3,CakePHP,lib/Cake/Console/Command/Task/ControllerTask.php,233,Y,N,N,,X,,,,Same as above. This is a read.
4,CakePHP,lib/Cake/Console/Command/Task/ControllerTask.php,234,Y,N,N,,X,,,,Maps var-var to literal keys that were the values in the previous array. This is a read.
5,CakePHP,lib/Cake/Model/Datasource/DboSource.php,1771,Y,N,N,,X,,,,"One of three literals in the surrounding array, mapping to local vars."
6,CakePHP,lib/Cake/Model/Datasource/DboSource.php,1772,Y,Y,N,,X,,,,Assigns string back into var-var-based array (one of the three literals).
7,CakePHP,lib/Cake/Model/Datasource/DboSource.php,1772,Y,N,N,,X,,,,Read of the var-var.
8,CakePHP,lib/Cake/Model/Datasource/DboSource.php,1774,Y,Y,N,,X,,,,Assigns empty string into var-var-based array (one of the three literals).
9,CakePHP,lib/Cake/View/Helper/FormHelper.php,2239,Y,Y,N,,X,,,,"Name computed based on literals defined in array, part of a foreach."
10,CakePHP,lib/Cake/View/Helper/FormHelper.php,2240,Y,Y,N,,X,,,,"Name computed based on literals defined in array, part of a foreach."
11,CakePHP,lib/Cake/View/Helper/FormHelper.php,2250,Y,Y,N,,X,,,,"Name computed based on literals defined in array, part of a foreach."
12,CakePHP,lib/Cake/View/Helper/FormHelper.php,2251,Y,Y,N,,X,,,,"Name computed based on literals defined in array, part of a foreach."
13,CakePHP,lib/Cake/View/Helper/FormHelper.php,2258,Y,Y,N,,X,,,,"Name computed based on literals defined in array, part of a foreach."
14,CakePHP,lib/Cake/View/Helper/PaginatorHelper.php,468,Y,Y,N,,X,,,,Literals defined as keys in an array provide the var-var values.
15,CakePHP,lib/Cake/Model/Datasource/Database/Postgres.php,877,Y,N,N,,X,,,,One of two literals defined in an array in the foreach.
16,CakePHP,lib/Cake/Model/Datasource/Database/Postgres.php,878,Y,Y,N,,X,,,,One of two literals defined in an array in the foreach.
17,CakePHP,lib/Cake/Model/Datasource/Database/Postgres.php,878,Y,N,N,,X,,,,One of two literals defined in an array in the foreach.
18,CakePHP,lib/Cake/Model/Datasource/Database/Sqlserver.php,531,Y,N,N,,X,,,,One of two literals defined in an array in the foreach.
19,CakePHP,lib/Cake/Model/Datasource/Database/Sqlserver.php,532,Y,Y,N,,X,,,,One of two literals defined in an array in the foreach.
20,CakePHP,lib/Cake/Model/Datasource/Database/Sqlserver.php,532,Y,N,N,,X,,,,One of two literals defined in an array in the foreach.
21,CodeIgniter,system/core/Input.php,255,Y,Y,N,,X,,,,Names given directly in array in foreach loop.
22,CodeIgniter,system/core/Input.php,581,N,N,Y,,,,,,"Names are stored in superglobal arrays. This maps the name to the related global. Note: This is related to register_globals, and now should be effective a no-op (or else it does the wrong thing). Legacy."
23,CodeIgniter,system/core/Input.php,582,N,Y,N,,,,,,"This sets the global mapped above to NULL. Note: This is related to register_globals, and now should be effective a no-op (or else it does the wrong thing). Legacy."
24,CodeIgniter,system/core/Input.php,591,N,N,Y,,,,,,"Names are stored in superglobal arrays. This maps the name to the related global. Note: This is related to register_globals, and now should be effective a no-op (or else it does the wrong thing). Legacy."
25,CodeIgniter,system/core/Input.php,592,N,Y,N,,,,,,"This sets the global mapped above to NULL. Note: This is related to register_globals, and now should be effective a no-op (or else it does the wrong thing). Legacy."
26,CodeIgniter,system/core/Loader.php,746,Y,Y,N,,X,,,,Names given directly in array in foreach loop.
27,CodeIgniter,system/libraries/Trackback.php,76,Y,Y,N,,X,X,,,Names given directly in array in foreach loop. Specific name given in case.
28,CodeIgniter,system/libraries/Trackback.php,78,Y,Y,N,,X,X,,,Names given directly in array in foreach loop. Specific name given in case.
29,CodeIgniter,system/libraries/Trackback.php,80,Y,Y,N,,X,X,,,Names given directly in array in foreach loop. Specific name given in case.
30,CodeIgniter,system/libraries/Trackback.php,82,Y,Y,N,,X,X,,,Names given directly in array in foreach loop.
31,CodeIgniter,system/libraries/Trackback.php,91,Y,Y,N,,X,,X,,Names given directly in array in foreach loop. Specific name given in condition.
32,CodeIgniter,system/libraries/Trackback.php,91,Y,N,N,,X,,X,,Names given directly in array in foreach loop. Specific name given in condition.
33,CodeIgniter,system/libraries/Trackback.php,95,Y,Y,N,,X,,X,,Names given directly in array in foreach loop. Specific name given in condition.
34,CodeIgniter,system/libraries/Trackback.php,95,Y,N,N,,X,,X,,Names given directly in array in foreach loop. Specific name given in condition.
35,CodeIgniter,system/libraries/Trackback.php,99,Y,Y,N,,X,,X,,Names given directly in array in foreach loop. Specific name given in condition.
36,CodeIgniter,system/libraries/Trackback.php,99,Y,N,N,,X,,X,,Names given directly in array in foreach loop. Specific name given in condition.
37,CodeIgniter,system/helpers/captcha_helper.php,50,Y,N,N,,X,,,,Names given directly in array in foreach loop.
38,CodeIgniter,system/helpers/captcha_helper.php,50,Y,N,N,,X,,,,Names given directly in array in foreach loop.
39,CodeIgniter,system/helpers/captcha_helper.php,52,Y,Y,N,,X,,,,Names given directly in array in foreach loop.
40,CodeIgniter,system/helpers/captcha_helper.php,57,Y,Y,N,,X,,,,Names given directly in array in foreach loop.
41,Drupal,includes/common.inc,7162,Y,Y,N,,X,,,,Names given directly in array in foreach expression that surrounds the use and assignment.
42,Gallery,system/core/Kohana.php,185,N,N,Y,,,,,,"Maps elements of $GLOBALS to vv in turn, creating an alias using the global keyword. Related to register globals."
43,Gallery,system/core/Kohana.php,186,N,Y,N,,,,,,Sets this mapped variable to null. Related to register_globals.
44,Gallery,system/core/Kohana.php,189,N,N,N,,,,,,Clears out global entry. Related to register_globals.
45,Gallery,system/helpers/cookie.php,37,Y,N,N,,X,,,,Names given directly in array in foreach loop. This is a read of the variable.
46,Gallery,system/helpers/cookie.php,39,Y,Y,N,,X,,,,Names given directly in array in foreach loop. This is an assignment.
47,Gallery,system/helpers/date.php,328,N,N,N,,,,,,"Check to see if var is set. Takes a comma-separated list of possible var names, but these all appear to be local names (fact that it comes from outside makes it non-local though)."
48,Gallery,system/helpers/date.php,331,N,N,N,,,,,,"Read of the value. For how names are provided, see prior item."
49,Joomla,libraries/joomla/cache/controller/callback.php,83,N,N,Y,,,,,,"Used as part of a callback mechanism, mapping to a global. A code comment says this will go away in the future."
50,Joomla,libraries/joomla/cache/controller/callback.php,84,N,N,N,,,,,,"Used as part of a callback mechanism, mapping to a global. A code comment says this will go away in the future."
51,Kohana,modules/codebench/classes/bench/datespan.php,96,N,N,N,,,,,,"Check to see if var is set. Takes a comma-separated list of possible var names, but these all appear to be local names (fact that it comes from outside makes it non-local though)."
52,Kohana,modules/codebench/classes/bench/datespan.php,99,N,N,N,,,,,,"Read of the value. For how names are provided, see prior item."
53,Kohana,modules/unittest/classes/kohana/unittest/helpers.php,110,Y,N,Y,,,,X,,Maps one of superglobal names using global statement.
54,Kohana,modules/unittest/classes/kohana/unittest/helpers.php,114,Y,N,N,,,,X,,Reads superglobal value through var-var.
55,Kohana,modules/unittest/classes/kohana/unittest/helpers.php,118,Y,Y,N,,,,X,,Assigns new value to superglobal through var-var.
56,Kohana,modules/userguide/vendor/markdown/markdown.php,1222,Y,Y,N,,,,X,,"Either strong or em, set above in the code."
57,Kohana,modules/userguide/vendor/markdown/markdown.php,1236,Y,Y,N,,,,X,,"Either strong or em, set above in the code."
58,MediaWiki,includes/Sanitizer.php,417,Y,Y,N,,X,,,,The possible values of the var-var are string literals in an array just before the foreach loop that sets these. This is the assignment.
59,MediaWiki,includes/Sanitizer.php,417,Y,N,N,,X,,,,The possible values of the var-var are string literals in an array just before the foreach loop that sets these. This is the read.
60,MediaWiki,includes/specials/SpecialVersion.php,699,?,?,?,,,,,,Used in some stupid intentionally obfuscated function called showEasterEgg. �nuff said.
61,MediaWiki,includes/job/UploadFromUrlJob.php,151,N,Y,N,,,,,,Actually looks like a bug...
62,MediaWiki,extensions/Vector/Vector.hooks.php,167,N,N,Y,,,,,,Configuration values: the config array contains strings that name global vars. This is the global statement that aliases using the var-var value.
63,MediaWiki,extensions/Vector/Vector.hooks.php,168,N,N,N,,,,,,Configuration values: the config array contains strings that name global vars. This read the var-var.
64,MediaWiki,extensions/WikiEditor/WikiEditor.hooks.php,282,N,N,Y,,,,,,Configuration values: the config array contains strings that name global vars. This is the global statement that aliases using the var-var value.
65,MediaWiki,extensions/WikiEditor/WikiEditor.hooks.php,283,N,N,N,,,,,,Configuration values: the config array contains strings that name global vars. This read the var-var.
66,MediaWiki,maintenance/importImages.php,279,Y,Y,N,,,,X,,"Used to increment one of a small set of flags. These flags are set as strings in the logic above, and are the only possible values."
67,MediaWiki,maintenance/importImages.php,296,Y,N,N,,X,,,,Used to display the flags in a foreach loop. The options are given immediately above as an array.
68,MediaWiki,maintenance/importImages.php,297,Y,N,N,,X,,,,Used to display the flags in a foreach loop. The options are given immediately above as an array.
69,Moodle,admin/user.php,177,N,Y,N,,,,,,Based on a mix of literals and the result of a function call.
70,Moodle,admin/user.php,252,N,Y,N,,,,,,Based on the result of a function call.
71,Moodle,course/search.php,65,Y,N,N,,X,,,,Based on literals given in an array and bound in a foreach loop.
72,Moodle,course/search.php,66,Y,N,N,,X,,,,Based on literals given in an array and bound in a foreach loop.
73,Moodle,grade/lib.php,2241,N,N,N,,,,,X,"Based on an input parameter. An annotation would be useful here, since the comment states that this has two possible values."
74,Moodle,grade/report/grader/lib.php,593,Y,N,N,,,,X,,Based on two string literals and a conditional.
75,Moodle,lib/accesslib.php,2366,N,N,N,,,,,,Based on an input parameter; reflective over plugin names.
76,Moodle,lib/accesslib.php,2370,N,N,N,,,,,,Based on an input parameter; reflective over plugin names.
77,Moodle,lib/adodb/drivers/adodb-mssql.inc.php,1012,N,N,N,,,,,,Based on contents of field. Used here in an is_array check. Not sure why a var-var is used here. May be a bug.
78,Moodle,lib/adodb/drivers/adodb-mssql.inc.php,1014,N,Y,N,,,,,,Based on contents of field. Used here as source in foreach. May be a bug.
79,Moodle,lib/datalib.php,1885,N,Y,N,,,,,,Based on input parameter. Looks like a bug: this is supposed to be a datetime.
80,Moodle,lib/deprecatedlib.php,2323,N,N,N,,,,,,Based on result of a call. Looks like a bug.
81,Moodle,lib/htmlpurifier/HTMLPurifier/ChildDef/Table.php,103,Y,N,N,,,X,,,Derivable based on case tag (but this may be challenging). Given as a string literal.
82,Moodle,lib/htmlpurifier/HTMLPurifier/ChildDef/Table.php,104,Y,Y,N,,,X,,,Derivable based on case tag (but this may be challenging). Given as a string literal.
83,Moodle,lib/markdown.php,1236,Y,Y,N,,,,X,,"Either strong or em, set above in the code."
84,Moodle,lib/markdown.php,1250,Y,Y,N,,,,X,,"Either strong or em, set above in the code."
85,Moodle,lib/portfoliolib.php,1015,Y,Y,N,,X,,,,Based on literals given in an array and bound in a foreach loop.
86,Moodle,lib/portfoliolib.php,1017,Y,Y,N,,X,,,,Based on literals given in an array and bound in a foreach loop.
87,Moodle,lib/sessionlib.php,382,N,Y,N,,,,,,Based on value held in an object.
88,Moodle,lib/xhprof/xhprof_html/index.php,66,Y,N,N,,X,,,,Based on literals given in an array. Need to show that call does not modify it.
89,Moodle,mod/feedback/item/captcha/print_captcha.php,102,Y,N,N,X,,,,,Based on a literal appended with either 1 or 2 (chosen randomly).
90,Moodle,mod/feedback/item/captcha/print_captcha.php,102,Y,N,N,X,,,,,Based on a literal appended with either 1 or 2 (chosen randomly).
91,Moodle,mod/feedback/item/captcha/print_captcha.php,103,Y,N,N,X,,,,,Based on a literal appended with either 1 or 2 (chosen randomly).
92,Moodle,mod/feedback/item/captcha/print_captcha.php,103,Y,N,N,X,,,,,Based on a literal appended with either 1 or 2 (chosen randomly).
93,Moodle,mod/feedback/item/captcha/print_captcha.php,104,Y,N,N,X,,,,,Based on a literal appended with either 1 or 2 (chosen randomly).
94,Moodle,mod/feedback/item/captcha/print_captcha.php,104,Y,N,N,X,,,,,Based on a literal appended with either 1 or 2 (chosen randomly).
95,Moodle,mod/quiz/report/grading/report.php,74,Y,N,N,,X,,,,Based on literals given in an array which is then used in a foreach loop.
96,Moodle,mod/quiz/report/grading/report.php,75,Y,N,N,,X,,,,Based on literals given in an array which is then used in a foreach loop.
97,Moodle,mod/survey/report.php,105,Y,N,N,,,X,,,"Based on string literal, given in case labels, prepended with �str�."
98,Moodle,report/completion/index.php,248,Y,N,N,,,,X,,Based on two string literals and a conditional.
99,Moodle,report/completion/index.php,248,Y,N,N,,,,X,,Based on two string literals and a conditional.
100,Moodle,report/completion/index.php,253,Y,N,N,,X,,,,Based on literals given in an array which is then used in a foreach loop; each literal is prepended with 'si'.
101,Moodle,report/completion/index.php,261,Y,N,N,,X,,,,Based on literals given in an array which is then used in a foreach loop; each literal is prepended with 'si'.
102,Moodle,report/progress/index.php,198,Y,N,N,,,,X,,Based on two string literals and a conditional.
103,Moodle,report/progress/index.php,198,Y,N,N,,,,X,,Based on two string literals and a conditional.
104,Moodle,report/progress/index.php,203,Y,N,N,,X,,,,Based on literals given in an array which is then used in a foreach loop; each literal is prepended with 'si'.
105,Moodle,report/progress/index.php,211,Y,N,N,,X,,,,Based on literals given in an array which is then used in a foreach loop; each literal is prepended with 'si'.
106,PEAR,PEAR/PackageFile/Generator/v1.php,727,Y,N,N,,X,,,,Var name value given as literals in array before a foreach loop.
107,SilverStripe,sapphire/core/ManifestBuilder.php,150,N,N,Y,,,,,,Global var name held in array; this uses global statement to bring it into scope.
108,SilverStripe,sapphire/core/ManifestBuilder.php,151,N,Y,N,,,,,,Global var name held in array; this sets it.
109,SilverStripe,sapphire/dev/TestMailer.php,74,Y,N,N,,X,,,,Var name value given as literals in array before a foreach loop.
110,Smarty,libs/plugins/block.textformat.php,56,Y,Y,N,,,X,,,Var-var name given in case label immediately before this.
111,Smarty,libs/plugins/block.textformat.php,62,Y,Y,N,,,X,,,Var-var name given in case label immediately before this.
112,Smarty,libs/plugins/block.textformat.php,66,Y,Y,N,,,X,,,Var-var name given in case label immediately before this.
113,Smarty,libs/plugins/function.html_checkboxes.php,65,Y,Y,N,,,X,,,Var-var name given in case label immediately before this.
114,Smarty,libs/plugins/function.html_checkboxes.php,71,Y,Y,N,,,X,,,Var-var name given in case label immediately before this.
115,Smarty,libs/plugins/function.html_checkboxes.php,75,Y,Y,N,,,X,,,Var-var name given in case label immediately before this.
116,Smarty,libs/plugins/function.html_checkboxes.php,80,Y,Y,N,,,X,,,Var-var name given in case label immediately before this.
117,Smarty,libs/plugins/function.html_image.php,58,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
118,Smarty,libs/plugins/function.html_image.php,63,Y,Y,N,,,X,,,Var-var name given in case label immediately before this.
119,Smarty,libs/plugins/function.html_options.php,55,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
120,Smarty,libs/plugins/function.html_options.php,64,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
121,Smarty,libs/plugins/function.html_radios.php,64,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
122,Smarty,libs/plugins/function.html_radios.php,85,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
123,Smarty,libs/plugins/function.html_radios.php,89,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
124,Smarty,libs/plugins/function.html_radios.php,94,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
125,Smarty,libs/plugins/function.html_select_date.php,126,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
126,Smarty,libs/plugins/function.html_select_date.php,158,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
127,Smarty,libs/plugins/function.html_select_date.php,166,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
128,Smarty,libs/plugins/function.html_select_date.php,186,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
129,Smarty,libs/plugins/function.html_select_date.php,195,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
130,Smarty,libs/plugins/function.html_select_date.php,218,Y,N,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
131,Smarty,libs/plugins/function.html_select_date.php,220,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
132,Smarty,libs/plugins/function.html_select_date.php,222,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
133,Smarty,libs/plugins/function.html_select_date.php,224,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
134,Smarty,libs/plugins/function.html_select_date.php,226,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
135,Smarty,libs/plugins/function.html_select_date.php,226,Y,N,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
136,Smarty,libs/plugins/function.html_select_time.php,120,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
137,Smarty,libs/plugins/function.html_select_time.php,128,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
138,Smarty,libs/plugins/function.html_select_time.php,138,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
139,Smarty,libs/plugins/function.html_select_time.php,156,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
140,Smarty,libs/plugins/function.html_select_time.php,169,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
141,Smarty,libs/plugins/function.html_select_time.php,355,Y,N,N,,X,,,,Var-var name is from an array of literals included in the foreach.
142,Smarty,libs/plugins/function.html_select_time.php,359,Y,N,N,,X,,,,Var-var name is from an array of literals included in the foreach.
143,Smarty,libs/plugins/function.html_table.php,73,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
144,Smarty,libs/plugins/function.html_table.php,91,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
145,Smarty,libs/plugins/function.html_table.php,100,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
146,Smarty,libs/plugins/function.html_table.php,106,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
147,Smarty,libs/plugins/function.mailto.php,85,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
148,Smarty,libs/sysplugins/smarty_internal_data.php,314,N,N,N,,,,,,"Names comes from outside. However, used in something like a no-op."
149,Smarty,libs/sysplugins/smarty_internal_data.php,338,N,N,N,,,,,,"Names comes from outside. However, used in something like a no-op."
150,SquirrelMail,src/compose.php,137,Y,Y,N,,X,,,,"Names from an array, used in a foreach."
