product,version,array,fetch array dim,fetch class const,assign,assign with operation: bitwise and,assign with operation: bitwise or,assign with operation: bitwise xor,assign with operation: concat,assign with operation: div,assign with operation: minus,assign with operation: mod,assign with operation: mul,assign with operation: plus,assign with operation: right shift,assign with operation: left shift,list assign,ref assign,binary operation: bitwise and,binary operation: bitwise or,binary operation: bitwise xor,binary operation: concat,binary operation: div,binary operation: minus,binary operation: mod,binary operation: mul,binary operation: plus,binary operation: right shift,binary operation: left shift,binary operation: boolean and,binary operation: boolean or,binary operation: gt,binary operation: geq,binary operation: logical and,binary operation: logical or,binary operation: logical xor,binary operation: not equal,binary operation: not identical,binary operation: lt,binary operation: leq,binary operation: equal,binary operation: identical,unary operation: boolean not,unary operation: bitwise not,unary operation: post dec,unary operation: pre dec,unary operation: post inc,unary operation: pre inc,unary operation: unary plus,unary operation: unary minus,new,cast to int,cast to bool,cast to float,cast to string,cast to array,cast to object,cast to unset,clone,closure,fetch const,empty,suppress,eval,exit,call,method call,static call,include,instanceOf,isSet,print,property fetch,shell exec,ternary,fetch static property,scalar,var,list
osCommerce,2.3.1,1857,10917,0,9664,0,8,0,818,0,8,0,2,76,1,0,0,19,50,0,5,17997,119,201,28,212,313,18,12,1202,359,428,62,0,6,0,411,14,589,25,1895,19,816,3,3,4,450,0,0,134,226,1163,8,12,6,3,0,0,0,0,11169,238,100,4,38,15403,1693,22,683,0,1002,0,5806,0,547,0,43514,37819,189
ZendFramework,2.2.4,5236,10797,2885,19951,11,29,65,597,3,49,8,21,137,1,0,0,107,240,149,11,10128,93,339,60,336,517,117,81,1672,921,370,120,20,7,1,307,1242,399,99,1010,1990,4108,21,30,12,223,32,0,235,4046,269,249,19,362,67,13,0,76,161,10279,678,6,1,30,11663,16635,1627,51,1343,1611,0,15581,1,981,484,57505,92801,127
ZendFramework,1.11.12,44000,27443,11543,73994,6,56,0,1391,10,131,11,40,478,2,5,0,83,317,164,12,25502,310,829,146,600,1198,118,109,2340,1345,887,318,175,79,0,1246,2200,993,230,4077,3003,6422,17,48,104,960,165,0,3762,19201,580,273,57,1061,293,39,0,63,1,31692,1483,480,13,36,30865,120024,13544,12829,2749,3039,205,64508,0,869,1517,357186,334996,207
Symfony,2.0.12,5502,11088,2241,16148,1,5,0,643,2,5,0,15,83,0,0,0,54,89,49,7,5082,20,169,35,20,194,1,1,1226,546,256,63,0,0,1,222,997,190,30,708,1447,2302,2,5,24,125,91,0,166,4162,97,121,7,386,130,0,0,57,155,6755,220,71,8,8,8731,22902,1063,96,601,1808,0,15828,0,1045,252,42318,82622,128
CodeIgniter,2.1.4,817,2439,5,3636,0,2,0,758,0,9,0,0,23,0,0,0,119,33,6,10,2615,46,91,40,57,104,8,8,154,4,257,43,213,181,0,264,145,128,14,704,334,921,1,5,2,91,18,24,55,86,29,12,3,11,6,1,0,0,0,2235,23,190,3,147,4146,1787,9,69,0,301,0,3978,0,367,5,12711,18131,22
CodeIgniter,2.1.2,816,2442,5,3640,0,2,0,758,0,9,0,0,23,0,0,0,119,33,6,10,2616,46,91,40,57,104,8,8,152,4,256,43,214,182,0,265,142,128,14,707,332,920,1,5,2,91,18,24,56,86,29,12,3,11,6,1,0,0,0,2233,21,190,3,147,4146,1791,9,69,0,303,0,3982,0,369,5,12718,18145,22
SilverStripe,2.4.7,2962,109065,450,47320,13,3,0,789,4,50,1,6,201,0,0,0,167,109,44,5,4286,129,336,34,166,492,43,19,1527,654,249,71,93,60,0,421,404,321,73,1183,523,2098,3,25,74,202,65,0,404,1643,169,48,24,90,105,0,0,45,0,7985,288,159,26,35,9612,8958,4852,373,127,1462,14,9965,11,909,1113,177212,96850,74
WordPress,1.5.1.2,336,2698,0,5356,0,0,0,385,0,2,0,0,22,0,0,0,45,6,1,1,2430,15,89,8,57,104,0,0,318,154,119,31,26,24,0,269,25,156,22,681,12,823,0,6,0,73,30,0,93,81,69,1,3,6,6,0,0,0,0,1127,357,80,3,187,7617,754,4,223,0,337,13,2725,0,142,0,17678,20547,23
WordPress,3.5.2,4934,18483,17,24469,12,11,1,1551,2,28,0,2,135,0,0,0,126,223,79,3,10906,90,342,19,167,363,37,32,2864,1376,440,152,47,15,0,924,622,486,119,2665,851,5529,5,44,16,321,72,0,462,784,655,99,24,70,567,57,0,14,0,10665,2296,524,0,318,39842,6386,395,620,18,2763,5,13457,0,1352,88,87373,98928,120
WordPress,2.7.1,2469,10294,0,15475,0,4,0,1033,0,21,0,2,43,0,0,0,190,108,13,16,6777,73,276,12,126,280,27,20,1336,647,320,124,51,18,0,714,253,404,69,1796,310,3055,0,29,15,266,66,0,275,479,512,9,4,16,322,21,0,2,0,4897,1443,441,8,297,23714,3415,169,399,0,1417,7,7551,0,691,0,49156,62044,90
WordPress,1.5.1.1,336,2698,0,5354,0,0,0,385,0,2,0,0,22,0,0,0,45,6,1,1,2430,15,89,8,57,104,0,0,318,154,119,31,26,24,0,269,25,156,22,681,12,823,0,6,0,73,30,0,93,81,67,1,3,6,6,0,0,0,0,1127,357,80,3,187,7616,754,4,223,0,337,13,2725,0,142,0,17678,20543,23
WordPress,3.5.1,4926,18465,17,24445,12,11,1,1552,2,28,0,2,135,0,0,0,126,223,78,3,10900,90,342,19,167,364,37,32,2862,1383,439,152,47,15,0,926,621,485,119,2672,845,5531,5,43,16,321,72,0,462,783,655,99,24,67,567,57,0,14,0,10630,2299,523,0,318,39747,6390,394,620,18,2764,5,13455,0,1343,88,87293,98856,120
WordPress,2.9,3362,15436,0,19928,12,8,1,1270,0,27,0,2,114,0,0,0,353,200,81,3,8097,93,328,20,157,375,38,24,1851,980,402,147,49,18,0,787,503,473,101,2091,623,3754,4,36,16,334,82,0,374,663,596,24,23,50,427,23,0,4,0,8105,1728,519,0,378,29095,4914,418,446,0,2154,6,10126,0,954,0,66841,80097,105
WordPress,3.3.2,4714,17352,15,22989,12,7,1,1424,1,27,0,2,127,0,0,0,306,199,77,3,10983,94,342,19,145,365,37,24,2648,1242,412,153,49,15,0,935,590,465,105,2646,710,5033,4,36,15,312,73,0,403,748,628,73,23,67,556,54,0,11,0,9772,2244,526,0,489,37505,5479,473,577,0,2537,2,12315,0,1251,77,82068,93223,124
WordPress,2.3.3,1344,5456,0,9840,0,0,0,779,0,8,0,0,15,0,0,0,105,23,2,2,4284,50,137,9,92,137,1,0,606,365,213,63,24,8,0,409,157,201,54,1150,101,1651,0,10,1,150,44,0,141,238,424,1,3,9,93,7,0,0,0,2524,834,192,2,199,14695,1945,4,323,0,647,38,5566,0,330,0,30786,38969,48
WordPress,2.5.1,1823,7968,0,12594,0,4,0,913,0,21,0,2,35,0,0,0,118,147,15,7,5573,54,172,9,87,238,27,20,931,463,259,101,53,18,0,615,215,286,47,1476,198,2334,0,17,5,196,44,0,236,330,449,7,3,14,147,13,0,0,0,4060,1120,403,8,228,18951,2876,136,357,0,930,7,6369,0,491,0,39712,50050,68
WordPress,2.8,3168,14433,0,18814,12,8,0,1201,0,25,0,2,92,0,0,0,317,148,54,5,7752,89,307,16,149,334,33,20,1645,846,375,138,51,20,0,745,445,449,91,2001,473,3449,2,34,16,318,70,0,360,646,541,24,20,38,408,20,0,3,0,7380,1639,504,8,344,27282,4747,395,433,0,1977,6,9716,0,864,0,63380,74914,95
WordPress,3.1.4,4448,17235,0,22418,12,8,1,1382,1,26,0,2,123,0,0,0,332,199,105,3,10411,96,335,20,143,360,38,24,2551,1160,418,163,46,17,0,926,563,463,107,2544,695,4804,4,36,15,317,68,0,421,714,619,67,23,61,548,51,0,4,0,9502,2174,527,0,486,35101,5257,455,558,0,2516,2,12128,0,1212,0,78094,91204,114
WordPress,1.5.2,339,2701,0,5363,0,0,0,382,0,2,0,0,22,0,0,0,45,6,1,1,2431,15,88,8,57,104,0,0,320,155,119,31,26,24,0,268,25,156,22,684,12,826,0,6,0,73,30,0,93,82,83,1,3,6,6,0,0,0,0,1129,357,80,3,187,7651,774,4,223,0,340,13,2726,0,141,0,17712,20646,23
WordPress,3.3.1,4713,17346,15,22972,12,7,1,1419,1,27,0,2,127,0,0,0,306,199,77,3,10983,94,342,19,145,360,37,24,2644,1241,411,153,49,15,0,934,591,461,105,2643,708,5031,4,36,15,312,71,0,401,748,628,73,23,67,556,54,0,11,0,9764,2242,528,0,488,37471,5479,473,576,0,2537,2,12315,0,1251,77,82019,93148,124
WordPress,2.3.2,1344,5454,0,9834,0,0,0,779,0,8,0,0,15,0,0,0,105,25,2,2,4283,50,137,9,92,137,1,0,609,365,213,63,24,8,0,409,157,201,54,1149,101,1651,0,10,1,150,44,0,141,236,424,1,3,9,93,7,0,0,0,2524,834,192,2,199,14690,1945,4,323,0,647,38,5567,0,327,0,30774,38958,48
WordPress,2.7,2455,10242,0,15417,0,4,0,1031,0,21,0,2,43,0,0,0,176,108,13,9,6755,73,276,12,126,279,27,20,1318,645,319,124,51,18,0,711,251,404,69,1791,298,3033,0,29,15,266,66,0,275,482,512,9,4,13,319,21,0,2,0,4860,1430,430,8,296,23635,3415,169,399,0,1404,7,7543,0,687,0,48943,61796,90
WordPress,3.1.3,4443,17218,0,22388,12,8,1,1381,1,26,0,2,123,0,0,0,332,199,105,3,10407,96,335,20,143,360,38,24,2547,1160,418,163,46,17,0,927,560,463,107,2546,693,4793,4,36,15,317,68,0,421,714,618,67,23,61,548,51,0,4,0,9502,2170,527,0,486,35069,5256,455,558,0,2513,2,12119,0,1211,0,78015,91114,114
WordPress,1.5.1,338,2702,0,5357,0,0,0,392,0,2,0,0,22,0,0,0,45,6,1,1,2447,15,90,8,57,105,0,0,323,154,119,31,26,24,0,269,24,157,22,682,11,827,0,6,0,74,30,0,92,80,67,1,3,6,6,0,0,0,0,1126,352,80,2,187,7627,756,4,223,0,337,13,2723,0,140,0,17712,20578,23
WordPress,2.1.3,943,4208,0,7689,0,0,0,620,0,6,0,0,13,0,0,0,99,23,4,1,3495,48,115,7,87,123,0,0,471,271,155,29,21,8,0,334,50,167,45,943,43,1243,0,6,1,123,43,0,135,160,277,1,3,7,64,0,0,0,0,1877,628,142,3,193,11718,1482,3,275,0,479,6,4302,0,232,0,24711,30477,33
WordPress,2.6,2022,8574,0,13470,0,4,0,938,0,21,0,2,42,0,0,0,146,104,13,9,5874,63,238,9,98,252,27,20,1080,512,282,113,55,21,0,646,235,367,58,1560,229,2538,0,28,15,247,55,0,240,388,448,7,3,14,164,13,0,1,0,4386,1181,418,8,255,20477,3118,144,387,0,982,7,6774,0,490,0,41835,53971,77
WordPress,3.1.2,4442,17212,0,22380,12,8,1,1381,1,26,0,2,123,0,0,0,332,199,105,3,10406,96,335,20,143,359,38,24,2547,1159,418,163,46,17,0,927,560,463,107,2543,693,4791,4,36,15,317,68,0,421,714,616,67,23,61,548,51,0,4,0,9499,2169,526,0,485,35042,5252,456,558,0,2513,2,12109,0,1211,0,77960,91070,114
WordPress,2.3.1,1344,5437,0,9802,0,0,0,779,0,8,0,0,15,0,0,0,105,25,2,2,4273,50,137,9,92,137,1,0,609,363,213,63,23,8,0,408,158,201,54,1143,101,1626,0,10,1,150,44,0,141,224,424,1,3,9,92,7,0,0,0,2512,828,192,2,197,14600,1934,4,321,0,644,38,5542,0,326,0,30621,38829,48
WordPress,2.1.2,943,4206,0,7658,0,0,0,620,0,6,0,0,13,0,0,0,99,23,4,1,3484,48,115,7,87,123,0,0,467,270,155,29,21,8,0,332,50,167,45,941,41,1239,0,6,1,123,43,0,135,158,190,1,3,6,64,0,0,0,0,1873,626,142,3,193,11675,1482,3,275,0,479,6,4298,0,234,0,24671,30412,33
WordPress,2.5,1811,7951,0,12541,0,4,0,904,0,21,0,2,35,0,0,0,118,147,15,7,5557,54,171,9,87,238,27,20,919,460,259,101,53,18,0,608,212,283,47,1467,195,2329,0,17,5,196,44,0,237,329,443,7,3,14,146,13,0,0,0,4044,1121,398,8,227,18866,2866,136,357,0,921,7,6358,0,490,0,39600,49882,68
WordPress,3.1.1,4442,17209,0,22380,12,8,1,1381,1,26,0,2,123,0,0,0,332,199,105,3,10405,96,335,20,143,359,38,24,2546,1159,418,163,46,17,0,926,560,463,107,2544,693,4791,4,36,15,317,68,0,421,714,616,67,23,61,548,51,0,4,0,9499,2169,526,0,485,35042,5252,456,558,0,2512,2,12111,0,1212,0,77955,91070,114
WordPress,2.1.1,943,4206,0,7656,0,0,0,620,0,6,0,0,13,0,0,0,99,23,4,1,3484,48,115,7,87,123,0,0,467,270,155,29,21,8,0,332,50,167,45,941,41,1238,0,6,1,123,43,0,135,158,190,1,3,6,64,0,0,0,0,1873,625,142,3,193,11668,1482,3,275,0,479,6,4295,0,234,0,24666,30403,33
WordPress,2.3,1342,5443,0,9788,0,0,0,781,0,8,0,0,15,0,0,0,105,25,3,2,4272,50,137,9,92,137,1,0,608,362,213,63,23,8,0,405,158,200,54,1141,99,1629,0,10,1,153,44,0,141,224,423,1,3,9,90,7,0,0,0,2502,830,191,2,197,14585,1934,4,321,0,646,45,5544,0,325,0,30640,38790,48
WordPress,2.2,1112,4835,0,8827,0,0,0,727,0,10,0,0,15,0,0,0,104,25,3,2,3892,48,129,9,90,132,1,0,533,306,186,63,23,8,0,403,139,193,49,1050,63,1416,0,10,1,137,53,0,143,192,350,1,3,9,77,0,0,0,0,2236,709,169,2,188,13279,1825,4,289,0,585,9,5166,0,287,0,27789,35175,43
WordPress,2.1,943,4205,0,7653,0,0,0,619,0,6,0,0,13,0,0,0,99,23,4,1,3479,48,115,7,87,123,0,0,467,270,155,29,21,8,0,332,49,167,45,940,41,1237,0,6,1,123,43,0,135,158,190,1,3,5,64,0,0,0,0,1872,624,141,3,193,11647,1482,3,275,0,479,6,4295,0,234,0,24654,30390,33
WordPress,2.0,627,3452,0,6015,0,0,0,429,0,3,0,3,29,0,0,0,54,11,1,1,2912,34,90,8,77,116,0,0,351,213,126,24,22,8,0,304,41,135,23,791,42,1026,0,5,0,91,32,0,95,120,118,1,3,8,6,0,0,0,0,1493,461,121,3,206,8934,1199,5,233,0,413,3,3582,0,170,0,20261,24209,32
WordPress,2.0.11,720,3752,0,6729,0,0,0,458,0,5,0,3,29,0,0,0,60,21,1,1,3282,42,102,7,79,114,0,0,386,225,140,26,22,9,0,321,48,155,32,842,41,1131,0,5,1,113,34,0,111,124,233,1,3,9,15,0,0,0,0,1637,505,132,3,240,10232,1317,4,234,0,450,3,3756,0,172,0,22306,26464,32
WordPress,2.0.10,718,3747,0,6705,0,0,0,458,0,5,0,3,29,0,0,0,60,21,1,1,3250,42,102,7,79,114,0,0,386,226,140,26,22,9,0,321,45,153,32,844,41,1131,0,5,1,113,34,0,111,124,215,1,3,9,15,0,0,0,0,1620,505,132,3,242,10116,1314,4,234,0,449,3,3744,0,172,0,22232,26398,32
WordPress,1.5-strayhorn,330,2634,0,5291,0,0,0,361,0,2,0,0,22,0,0,0,6,6,7,1,2250,15,85,8,45,102,0,6,311,145,114,29,27,27,0,265,22,154,21,650,10,782,0,8,0,71,30,0,88,80,66,1,3,6,6,0,0,0,0,1056,338,82,2,183,7055,752,4,220,0,305,13,2653,0,127,0,16677,20103,23
WordPress,2.8.6,3192,14551,0,18934,12,8,0,1214,0,25,0,2,95,0,0,0,329,149,54,5,7695,89,311,16,152,344,33,20,1681,862,381,138,51,20,0,752,454,453,92,2025,491,3510,2,37,16,319,70,0,366,646,542,24,20,38,412,20,0,3,0,7445,1645,505,6,353,27554,4745,409,433,0,1990,6,9759,0,877,0,63666,75446,95
WordPress,2.8.5,3192,14551,0,18924,12,8,0,1211,0,25,0,2,95,0,0,0,329,149,54,5,7691,89,311,16,152,344,33,20,1681,862,381,138,51,20,0,752,454,453,91,2025,491,3508,2,37,16,319,70,0,366,646,542,24,20,38,411,20,0,3,0,7442,1644,505,6,353,27539,4745,409,433,0,1990,6,9759,0,878,0,63658,75410,95
WordPress,2.8.4,3193,14537,0,18923,12,8,0,1211,0,25,0,2,95,0,0,0,328,149,54,5,7768,89,311,16,152,343,33,20,1681,861,381,138,51,20,0,757,454,453,91,2019,491,3516,2,37,16,319,70,0,367,646,542,24,20,38,411,20,0,3,0,7452,1646,505,8,353,27578,4764,407,433,0,1987,6,9761,0,879,0,63862,75461,95
WordPress,2.8.3,3193,14536,0,18923,12,8,0,1211,0,25,0,2,95,0,0,0,328,149,54,5,7767,89,311,16,152,343,33,20,1681,859,381,138,51,20,0,757,454,453,91,2019,491,3514,2,37,16,319,70,0,367,645,542,24,20,38,411,20,0,3,0,7452,1645,505,8,353,27574,4764,407,433,0,1987,6,9761,0,879,0,63858,75455,95
WordPress,2.6.5,2024,8586,0,13510,0,4,0,936,0,21,0,2,42,0,0,0,146,105,13,9,5882,64,240,9,99,255,27,20,1073,515,283,113,55,22,0,648,236,369,59,1557,229,2556,0,28,15,247,55,0,240,390,449,7,3,14,167,13,0,1,0,4376,1183,419,8,255,20537,3132,145,387,0,991,7,6796,0,490,0,41926,54155,77
WordPress,2.8.2,3193,14536,0,18921,12,8,0,1211,0,25,0,2,95,0,0,0,328,149,54,5,7767,89,311,16,152,344,33,20,1681,859,381,138,51,20,0,757,454,453,91,2020,491,3483,2,37,16,319,70,0,367,645,542,24,20,38,411,20,0,3,0,7452,1645,505,8,345,27494,4764,407,433,0,1987,6,9761,0,879,0,63795,75452,95
WordPress,2.0.9,718,3745,0,6678,0,0,0,458,0,5,0,3,29,0,0,0,60,21,1,1,3247,42,102,7,79,114,0,0,382,225,140,26,22,9,0,319,45,153,32,842,39,1126,0,5,1,113,34,0,111,122,149,1,3,8,15,0,0,0,0,1616,502,132,3,242,10081,1315,4,234,0,450,3,3740,0,174,0,22193,26345,32
WordPress,2.6.3,2024,8583,0,13503,0,4,0,936,0,21,0,2,42,0,0,0,146,105,13,9,5882,64,240,9,99,255,27,20,1072,513,283,113,55,22,0,646,236,368,59,1557,229,2556,0,28,15,247,55,0,240,390,448,7,3,14,167,13,0,1,0,4376,1183,418,8,255,20534,3132,145,387,0,990,7,6796,0,490,0,41923,54138,77
