product1,version1,product2,version2,distance
Gallery,3.0.4,SilverStripe,2.4.7,4
Gallery,3.0.4,Kohana,3.2,4
Joomla,2.5.4,MediaWiki,1.19.1,4
ZendFramework,1.11.12,Moodle,2.3,5
MediaWiki,1.19.1,Moodle,2.3,5
Gallery,3.0.4,WordPress,3.4,5
SilverStripe,2.4.7,Drupal,7.14,6
Kohana,3.2,SilverStripe,2.4.7,6
ZendFramework,1.11.12,SilverStripe,2.4.7,6
MediaWiki,1.19.1,SilverStripe,2.4.7,6
MediaWiki,1.19.1,ZendFramework,1.11.12,6
SilverStripe,2.4.7,WordPress,3.4,7
Kohana,3.2,WordPress,3.4,7
phpMyAdmin,3.5.0-english,WordPress,3.4,7
Symfony,2.0.12,Drupal,7.14,7
Joomla,2.5.4,Moodle,2.3,7
CakePHP,2.2.0-0,Smarty,3.1.11,7
ZendFramework,1.11.12,Drupal,7.14,8
MediaWiki,1.19.1,Drupal,7.14,8
Gallery,3.0.4,Drupal,7.14,8
Gallery,3.0.4,ZendFramework,1.11.12,8
Gallery,3.0.4,MediaWiki,1.19.1,8
CodeIgniter,2.1.2,Kohana,3.2,8
Joomla,2.5.4,ZendFramework,1.11.12,8
CakePHP,2.2.0-0,Drupal,7.14,8
Drupal,7.14,WordPress,3.4,9
Kohana,3.2,Smarty,3.1.11,9
Moodle,2.3,SilverStripe,2.4.7,9
ZendFramework,1.11.12,WordPress,3.4,9
MediaWiki,1.19.1,WordPress,3.4,9
Symfony,2.0.12,SilverStripe,2.4.7,9
Symfony,2.0.12,Kohana,3.2,9
Symfony,2.0.12,ZendFramework,1.11.12,9
osCommerce,2.3.1,phpBB,3,9
osCommerce,2.3.1,SquirrelMail,1.4.22,9
CodeIgniter,2.1.2,WordPress,3.4,9
CodeIgniter,2.1.2,Smarty,3.1.11,9
CakePHP,2.2.0-0,DoctrineORM,2.1.7,9
Kohana,3.2,Drupal,7.14,10
phpMyAdmin,3.5.0-english,SilverStripe,2.4.7,10
phpMyAdmin,3.5.0-english,Kohana,3.2,10
ZendFramework,1.11.12,Kohana,3.2,10
Gallery,3.0.4,phpMyAdmin,3.5.0-english,10
Symfony,2.0.12,Moodle,2.3,10
CodeIgniter,2.1.2,phpMyAdmin,3.5.0-english,10
CodeIgniter,2.1.2,Gallery,3.0.4,10
CodeIgniter,2.1.2,osCommerce,2.3.1,10
Joomla,2.5.4,Drupal,7.14,10
Joomla,2.5.4,SilverStripe,2.4.7,10
Joomla,2.5.4,phpMyAdmin,3.5.0-english,10
CakePHP,2.2.0-0,Kohana,3.2,10
CakePHP,2.2.0-0,Gallery,3.0.4,10
Drupal,7.14,phpBB,3,11
SilverStripe,2.4.7,phpBB,3,11
Kohana,3.2,phpBB,3,11
Moodle,2.3,Drupal,7.14,11
Gallery,3.0.4,Smarty,3.1.11,11
Gallery,3.0.4,Moodle,2.3,11
Symfony,2.0.12,Gallery,3.0.4,11
SquirrelMail,1.4.22,phpMyAdmin,3.5.0-english,11
CodeIgniter,2.1.2,phpBB,3,11
Joomla,2.5.4,WordPress,3.4,11
CakePHP,2.2.0-0,WordPress,3.4,11
Smarty,3.1.11,WordPress,3.4,12
phpBB,3,WordPress,3.4,12
DoctrineORM,2.1.7,Smarty,3.1.11,12
Moodle,2.3,WordPress,3.4,12
phpMyAdmin,3.5.0-english,Drupal,7.14,12
MediaWiki,1.19.1,Kohana,3.2,12
MediaWiki,1.19.1,phpMyAdmin,3.5.0-english,12
Symfony,2.0.12,WordPress,3.4,12
Symfony,2.0.12,phpBB,3,12
Symfony,2.0.12,DoctrineORM,2.1.7,12
SquirrelMail,1.4.22,WordPress,3.4,12
SquirrelMail,1.4.22,phpBB,3,12
CodeIgniter,2.1.2,Drupal,7.14,12
CodeIgniter,2.1.2,SilverStripe,2.4.7,12
Joomla,2.5.4,Kohana,3.2,12
Joomla,2.5.4,Gallery,3.0.4,12
CakePHP,2.2.0-0,PEAR,1.9.4,12
CakePHP,2.2.0-0,SilverStripe,2.4.7,12
CakePHP,2.2.0-0,CodeIgniter,2.1.2,12
phpMyAdmin,3.5.0-english,Moodle,2.3,13
Gallery,3.0.4,phpBB,3,13
Symfony,2.0.12,phpMyAdmin,3.5.0-english,13
Symfony,2.0.12,MediaWiki,1.19.1,13
SquirrelMail,1.4.22,SilverStripe,2.4.7,13
SquirrelMail,1.4.22,Gallery,3.0.4,13
CodeIgniter,2.1.2,SquirrelMail,1.4.22,13
Joomla,2.5.4,Symfony,2.0.12,13
CakePHP,2.2.0-0,Symfony,2.0.12,13
ZendFramework,1.11.12,phpMyAdmin,3.5.0-english,14
osCommerce,2.3.1,Kohana,3.2,14
CodeIgniter,2.1.2,ZendFramework,1.11.12,14
Joomla,2.5.4,CodeIgniter,2.1.2,14
CakePHP,2.2.0-0,ZendFramework,1.11.12,14
Smarty,3.1.11,PEAR,1.9.4,15
Drupal,7.14,Smarty,3.1.11,15
SilverStripe,2.4.7,Smarty,3.1.11,15
DoctrineORM,2.1.7,Kohana,3.2,15
Moodle,2.3,Kohana,3.2,15
phpMyAdmin,3.5.0-english,Smarty,3.1.11,15
phpMyAdmin,3.5.0-english,phpBB,3,15
ZendFramework,1.11.12,phpBB,3,15
SquirrelMail,1.4.22,Kohana,3.2,15
osCommerce,2.3.1,WordPress,3.4,15
CodeIgniter,2.1.2,Symfony,2.0.12,15
CakePHP,2.2.0-0,phpBB,3,15
Drupal,7.14,PEAR,1.9.4,16
SilverStripe,2.4.7,PEAR,1.9.4,16
osCommerce,2.3.1,Drupal,7.14,16
osCommerce,2.3.1,SilverStripe,2.4.7,16
osCommerce,2.3.1,phpMyAdmin,3.5.0-english,16
osCommerce,2.3.1,Gallery,3.0.4,16
CodeIgniter,2.1.2,MediaWiki,1.19.1,16
CakePHP,2.2.0-0,phpMyAdmin,3.5.0-english,16
CakePHP,2.2.0-0,MediaWiki,1.19.1,16
DoctrineORM,2.1.7,PEAR,1.9.4,17
DoctrineORM,2.1.7,Drupal,7.14,17
ZendFramework,1.11.12,Smarty,3.1.11,17
MediaWiki,1.19.1,phpBB,3,17
SquirrelMail,1.4.22,MediaWiki,1.19.1,17
osCommerce,2.3.1,Symfony,2.0.12,17
CodeIgniter,2.1.2,Moodle,2.3,17
Joomla,2.5.4,Smarty,3.1.11,17
Joomla,2.5.4,phpBB,3,17
phpBB,3,Smarty,3.1.11,18
Kohana,3.2,PEAR,1.9.4,18
DoctrineORM,2.1.7,WordPress,3.4,18
phpMyAdmin,3.5.0-english,PEAR,1.9.4,18
Gallery,3.0.4,PEAR,1.9.4,18
Symfony,2.0.12,Smarty,3.1.11,18
osCommerce,2.3.1,ZendFramework,1.11.12,18
CodeIgniter,2.1.2,PEAR,1.9.4,18
CakePHP,2.2.0-0,osCommerce,2.3.1,18
CakePHP,2.2.0-0,Joomla,2.5.4,18
WordPress,3.4,PEAR,1.9.4,19
phpBB,3,PEAR,1.9.4,19
DoctrineORM,2.1.7,SilverStripe,2.4.7,19
ZendFramework,1.11.12,DoctrineORM,2.1.7,19
MediaWiki,1.19.1,Smarty,3.1.11,19
Gallery,3.0.4,DoctrineORM,2.1.7,19
Symfony,2.0.12,PEAR,1.9.4,19
SquirrelMail,1.4.22,PEAR,1.9.4,19
SquirrelMail,1.4.22,Drupal,7.14,19
SquirrelMail,1.4.22,ZendFramework,1.11.12,19
osCommerce,2.3.1,Smarty,3.1.11,19
CodeIgniter,2.1.2,DoctrineORM,2.1.7,19
Joomla,2.5.4,SquirrelMail,1.4.22,19
CakePHP,2.2.0-0,Moodle,2.3,19
CakePHP,2.2.0-0,SquirrelMail,1.4.22,19
DoctrineORM,2.1.7,phpBB,3,20
Moodle,2.3,Smarty,3.1.11,20
Moodle,2.3,phpBB,3,20
SquirrelMail,1.4.22,Smarty,3.1.11,20
SquirrelMail,1.4.22,Moodle,2.3,20
SquirrelMail,1.4.22,Symfony,2.0.12,20
osCommerce,2.3.1,PEAR,1.9.4,20
osCommerce,2.3.1,MediaWiki,1.19.1,20
Joomla,2.5.4,osCommerce,2.3.1,20
phpMyAdmin,3.5.0-english,DoctrineORM,2.1.7,21
Moodle,2.3,DoctrineORM,2.1.7,22
ZendFramework,1.11.12,PEAR,1.9.4,22
MediaWiki,1.19.1,PEAR,1.9.4,22
osCommerce,2.3.1,DoctrineORM,2.1.7,23
osCommerce,2.3.1,Moodle,2.3,23
Joomla,2.5.4,DoctrineORM,2.1.7,23
SquirrelMail,1.4.22,DoctrineORM,2.1.7,24
Moodle,2.3,PEAR,1.9.4,25
MediaWiki,1.19.1,DoctrineORM,2.1.7,25
Joomla,2.5.4,PEAR,1.9.4,26